6,75,98,57
22,75,98,54
38,75,98,51
54,75,98,48
70,75,98,45
86,75,98,43
103,75,98,43
119,75,98,41
135,75,98,41
151,75,98,40
167,75,98,41
183,75,98,41
199,75,98,41
215,75,98,41
231,75,98,40
247,75,98,40
264,75,98,39
280,75,98,38
296,75,98,37
312,75,98,35
328,75,98,34
344,75,98,32
360,75,98,31
376,75,98,30
392,75,98,28
408,75,98,28
424,75,98,27
441,75,98,26
457,75,98,26
473,75,98,25
489,75,98,24
505,75,98,24
521,75,98,23
537,75,98,23
553,75,98,23
569,75,98,22
585,75,98,23
602,75,98,25
618,75,98,29
634,75,98,35
650,75,98,42
666,75,98,49
682,75,98,56
698,75,98,61
714,75,98,64
730,75,98,64
747,75,98,63
763,75,98,61
779,75,98,58
795,75,98,55
811,75,98,53
827,75,98,50
843,75,98,47
859,75,98,45
875,75,98,44
891,75,98,43
908,75,98,42
924,75,98,42
940,75,98,42
956,75,98,42
972,75,98,42
988,75,98,41
1004,75,98,41
1020,75,98,40
1036,75,98,40
1053,75,98,38
1069,75,98,37
1085,75,98,35
1101,75,98,34
1117,75,98,32
1133,75,98,31
1149,75,98,30
1165,75,98,29
1182,75,98,28
1198,75,98,27
1214,75,98,26
1230,75,98,25
1246,75,98,25
1262,75,98,24
1278,75,98,23
1294,75,98,23
1310,75,98,23
1326,75,98,24
1343,75,98,26
1359,75,98,31
1375,75,98,37
1391,75,98,43
1407,75,98,51
1423,75,98,57
1439,75,98,60
1455,75,98,60
1471,75,98,62
1487,75,98,62
1503,76,98,60
1520,76,98,58
1536,76,98,55
1552,76,98,53
1568,76,98,50
1584,76,98,47
1600,76,98,45
1616,76,98,43
1632,76,98,41
1648,76,98,40
1665,76,98,40
1681,76,98,40
1697,76,98,40
1713,76,98,40
1729,76,98,40
1745,76,98,39
1761,76,98,38
1777,76,98,37
1793,76,98,36
1810,76,98,35
1826,76,98,33
1842,76,98,32
1858,76,98,30
1874,76,98,29
1890,76,98,28
1906,76,98,28
1922,76,98,27
1938,76,98,26
1954,76,98,25
1971,76,98,24
1987,76,98,24
2003,76,98,23
2019,76,98,23
2035,76,98,22
2051,76,98,22
2067,76,98,22
2083,76,98,23
2099,76,98,26
2116,76,98,31
2132,76,98,38
2148,76,98,44
2164,76,98,51
2180,76,98,58
2196,76,98,61
2212,76,98,63
2228,76,98,63
2244,76,98,61
2261,77,98,59
2277,77,98,56
2293,77,98,54
2309,77,98,51
2325,77,98,48
2341,77,98,46
2357,77,98,44
2373,77,98,44
2389,77,98,43
2406,77,98,42
2422,77,98,41
2438,77,98,41
2454,77,98,41
2470,77,98,41
2486,77,98,40
2502,77,98,40
2518,77,98,40
2534,77,98,39
2550,77,98,37
2566,77,98,36
2582,77,98,34
2599,77,98,33
2615,77,98,32
2631,77,98,31
2647,77,98,29
2663,77,98,28
2679,77,98,27
2695,77,98,27
2711,77,98,26
2727,77,98,25
2743,77,98,25
2760,77,98,24
2776,77,98,24
2792,77,98,23
2808,77,98,23
2824,77,98,23
2840,77,98,23
2856,77,98,23
2872,77,98,24
